ano,municipio,nome_municipio,populacao,fonte,metodo,obitos_causa_basica_cerebrovascular,taxa_100mil
2010,330550,Saquarema,74234,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,50,67.35458145863082
2010,330555,Seropédica,78186,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,29,37.09103931650168
2010,330560,Silva Jardim,21349,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,12,56.20872171998688
2010,330570,Sumidouro,14900,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,6,40.26845637583892
2010,330575,Tanguá,30732,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,14,45.555121697253675
2010,330580,Teresópolis,163746,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,86,52.520366909726036
2010,330590,Trajano de Moraes,10289,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,5,48.595587520653126
2010,330600,Três Rios,77432,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,68,87.81898956503771
2010,330610,Valença,71843,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,59,82.12351934078477
2010,330615,Varre-Sai,9475,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,5,52.770448548812666
2010,330620,Vassouras,34410,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,31,90.09009009009009
2010,330630,Volta Redonda,257803,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,180,69.82075460720007
2011,330010,Angra dos Reis,173370,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,76,43.83688065986042
2011,330015,Aperibé,10382,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,12,115.58466576767482
2011,330020,Araruama,114250,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,71,62.144420131291035
2011,330022,Areal,11540,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,8,69.32409012131716
2011,330023,Armação dos Búzios,28279,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,9,31.82573641217865
2011,330025,Arraial do Cabo,28010,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,15,53.55230274901821
2011,330030,Barra do Piraí,95260,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,86,90.27923577577157
2011,330040,Barra Mansa,178355,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,117,65.59950660200163
2011,330045,Belford Roxo,472008,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,223,47.244961949797464
2011,330050,Bom Jardim,25539,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,19,74.39602177062532
2011,330060,Bom Jesus do Itabapoana,35546,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,35,98.46396218983853
2011,330070,Cabo Frio,190787,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,96,50.317893776829656
2011,330080,Cachoeiras de Macacu,54713,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,35,63.97017162283186
2011,330090,Cambuci,14840,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,13,87.6010781671159
2011,330093,Carapebus,13697,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,8,58.40695042710083
2011,330095,Comendador Levy Gasparian,8200,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,7,85.36585365853658
2011,330100,Campos dos Goytacazes,468087,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,357,76.26787327996719
2011,330110,Cantagalo,19830,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,11,55.47150781643974
2011,330115,Cardoso Moreira,12601,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,7,55.55114673438616
2011,330120,Carmo,17599,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,15,85.23211546110575
2011,330130,Casimiro de Abreu,36360,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,22,60.50605060506051
2011,330140,Conceição de Macabu,21416,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,7,32.6858423608517
2011,330150,Cordeiro,20571,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,13,63.19576102279909
2011,330160,Duas Barras,10976,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,4,36.44314868804665
2011,330170,Duque de Caxias,861158,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,547,63.519121926522196
2011,330180,Engenheiro Paulo de Frontin,13324,"IBGE/SIDRA tabela 6579, variável 9324",estimativa_1_julho,11,82.55779045331732
